# Lexique de traduction des termes de règle -- table d'autorité du projet (LOT-30).
#
# GÉNÉRÉ. Ne pas éditer à la main :
#     python scripts/sourcebook glossaire
#
# Une seule traduction par terme de règle, dans tout le jeu. Ce n'est pas un catalogue
# d'interface -- fr.lang et en.lang font cela ; c'est ce qui empêche « saving throw » de
# devenir « jet de sauvegarde » dans la fiche et « JdS » dans le journal de combat.
#
# Source : Glossaire.pdf (aidedd.org), complété par Basic-Rules-FR.pdf. Provenance `srd`
# pour la totalité du fichier (EX-CNT-001), OGL 1.0a -- inutile de la répéter par ligne.
#
# Plusieurs traductions d'un même terme sont séparées par « / » ; la première est la
# forme retenue, les suivantes sont admises en lecture (check_glossary.py).
anglais;français;catégorie
Athletics;Athlétisme;compétence
Attack action;Attaquer;action
attack roll;jet d'attaque;
attuned;lié;
Augury;Augure;
Aura of Courage;Aura de courage;capacité (paladin)
Aura of Devotion;Aura de dévotion;capacité (paladin)
Aura of Life;Aura de vie;
Aura of Protection;Aura de protection;capacité (paladin)
Aura of Purity;Aura de pureté;
Aura of Vitality;Aura de vitalité;
Aura of Warding;Aura de garde;capacité (paladin)
Auran;aérien;langue
Auril;Aurile;divinité
Avatar of Battle;Avatar de bataille / Avatar de la bataille;capacité (clerc)
Avenging Angel;Ange de la vengeance;capacité (paladin)
Awaken;Éveil;
Awakened Mind;Esprit éveillé;capacité (occultiste)
Awakened Shrub;Arbuste éveillé;
Awakened Tree;Arbre éveillé;
Axe Beak;Bec de hache / Autrache;
Axe of the Dwarvish Lords;Hache des seigneurs nains;
Azer;Azer;
Azuth;Azouth;divinité
Baboon;Babouin;
background;historique;
Bad Reputation;Mauvaise réputation;capacité (historique)
Badger;Blaireau;
Bag of Beans;Sac de haricots;
Bag of Devouring;Sac dévoreur;
Bag of Holding;Sac sans fond;
Bag of Tricks;Sac à malices;
Bait and Switch;Chassé-croisé;manœuvre (TCoE)
Baldur's Gate;Porte de Baldur;
Balor;Balor;
Bandit;Bandit;
Bandit Captain;Bandit, capitaine;
Bane;Fléau / Imprécation;
Bane;Baine;divinité
Banishing Smite;Châtiment du ban;
Banishment;Bannissement;
Banshee;Banshie;
barbarian;barbare;classe
Barbed Devil;Diable barbelé;
bard;barde;classe
Bard College;Collège bardique;capacité (barde)
Bardic Inspiration;Inspiration bardique;capacité (barde)
Barkskin;Peau d'écorce;
Barlgura;Barlgura;
Basilisk;Basilic;
Bat;Chauve-souris;
Battle Magic;Magie de combat / Magie guerrière;capacité (barde)
Battle Master;Maître de guerre;voie (guerrier)
battleaxe;hache d'armes;arme
Beacon of Hope;Lueur d'espoir;
Bead of Force;Perle de force;
Bearded Devil;Diable barbu;
beast;bête;type de créature
Beast Bond;Lien avec une bête (XGtE);
Beast Master;Maître des bêtes;voie (rôdeur)
Beast Sense;Sens animal;
Beast Speech;Langage animal;manifestation occulte
Beast Spells;Incantation animale;capacité (druide)
Beastlands, the;terre des Bêtes, la;plan
Beguiling Defenses;Défenses captivantes / Charmantes défenses;capacité (occultiste)
Beguiling Influence;Présence captivante;manifestation occulte
Behir;Béhir;
Beholder;Tyrannoeil;
Beholder Zombie;Zombi tyrannoeil;
Belt of Dwarvenkind;Ceinturon des nains;
Belt of Giant Strength;Ceinturon de force de géant / Ceinturon de force du géant;
Bend Luck;Chance forcée / Comme par hasard;capacité (ensorceleur)
Benign Transposition;Permutation;capacité (magicien)
Berserker;Berserker;
Berserker Axe;Hache du berserker;
Beshaba;Beshaba;divinité
Bestial Fury;Fureur bestiale;capacité (rôdeur)
Bestow curse;Malédiction;
Bewitching Whispers;Murmures ensorcelants / Murmures impérieux;manifestation occulte
Bhaal;Bhaal;divinité
Bigby's Hand;Main de Bigby;
Black Bear;Ours noir;
Black Dragon;Dragon noir;
Black Pudding;Pouding noir;
Blackrazor;Noir rasoir;
Blade Barrier;Barrière de lames;
Blade of Disaster;Lame du desastre (TCoE);
Blade Ward;Protection contre les armes;
Bless;Bénédiction;
Blessed Healer;Guérisseur béni;capacité (clerc)
Blessed Warrior;Combattant béni;style de combat (TCoE)
Blessing of the Trickster;Bénédiction de l'escroc / Faveur du filou;capacité (clerc)
Blessings of Knowledge;Bénédictions du savoir / Faveurs érudites;capacité (clerc)
Blight;Flétrissement;
Blind Fighting;Combat en aveugle;style de combat (TCoE)
blinded;aveuglé;état
Blinding Smite;Châtiment aveuglant;
Blindness/Deafness;Cécité/surdité;
Blindsense;Perception aveugle;capacité (roublard)
blindsight;vision aveugle;
Blink;Clignotement;
Blink Dog;Chien esquiveur;
Blood Hawk;Faucon de sang;
blowgun;sarbacane;arme
bludgeoning;contondant;type de dégâts
Blue Dragon;Dragon bleu;
Blue Slaad;Slaad bleu;
Blur;Flou;
Boar;Sanglier;
bond;lien;
Bond of the Talisman;Lien du Talisman;manifestation occulte (TCoE)
Bone Devil;Diable osseux;
Bone Naga;Naga osseux;
Bones of the Earth;Ossements de la Terre (XGtE);
bonus action;action bonus;
Bonus Proficiency;Maîtrise supplémentaire;capacité
Book of Ancient Secrets;Livre des secrets anciens;manifestation occulte
Book of the Exalted Deeds;Les Chapitres sacrés;
Book of Vile Darkness;Les Chapitres interdits;
Booming Blade;Lame retentissante (TCoE);
Boots of Elvenkind;Bottes elfiques;
Boots of Levitation;Bottes de lévitation;
Boots of Speed;Bottes de rapidité;
Boots of Striding and Springing;Bottes de sept lieues;
Boots of the Winterlands;Bottes des terres gelées;
Bountiful Luck;Chance abondante;don (XGtE)
Bowl of Commanding Water Elementals;Jatte de contrôle des élémentaires de l'eau;
Brace;Anticipation;manœuvre (TCoE)
Bracers of Archery;Bracelets d'archer;
Bracers of Defense;Bracelets de défense;
Branding Smite;Châtiment révélateur;
Brass Dragon;Dragon d'airain;
Brave;Brave;capacité (halfelin)
Brazier of Commanding Fire Elementals;Brasero de contrôle des élémentaires du feu / Brasero de contrôle des élémentaires de feu;
breastplate;cuirasse;armure
Breath Weapon;Souffle;capacité (drakeide)
bright light;lumière vive;
Bronze Dragon;Dragon de bronze;
Brooch of Shielding;Broche de défense;
Broom of Flying;Balai volant;
Brown Bear;Ours brun;
Brutal Critical;Critique brutal;capacité (barbare)
Bugbear;Gobelours;
Bugbear Chief;Gobelours, chef;
Bulette;Bulette;
Bullywug;Brutacien;
Burning Hands;Mains brûlantes;
By Popular Demand;À la demande du public;capacité (historique)
Bytopia;Bytopie;plan
Call Lightning;Appel de la foudre;
Calm Emotions;Apaisement des émotions;
Cambion;Cambion;
Camel;Chameau;
Candle of Invocation;Cierge d'invocation;
Candlekeep;Chateau-Suif;
cantrip;sort mineur;
Cap of Water Breathing;Capuchon de respiration aquatique;
Cape of the Mountebank;Cape du prestidigitateur / Cape de prestidigitateur;
Carceri;Carcères;plan
Careful Spell;sort prévenant;métamagie
Carpet of Flying;Tapis volant;
Carrion Crawler;Charognard rampant;
Cast a spell;Lancer un sort;action
Cat;Chat;
Catapult;Catapulte (XGtE);
Catnap;Sieste (XGtE);
Cause Fear;Frayeur (XGtE);
Celestial;céleste;langue
celestial;céleste;type de créature
Censer of Controlling Air Elementals;Encensoir de contrôle des élémentaires de l'air;
Centaur;Centaure;
Ceremony;Cérémonie (XGtE);
Chain Devil;Diable à chaîne / Diable des chaînes;
Chain Lightning;Chaîne d'éclairs;
chain mail;cotte de mailles;armure
chain shirt;chemise de mailles;armure
Chains of Carceri;Chaînes des Carcères;manifestation occulte
Challenge Rating (CR);Facteur de Puissance (FP) / Indice de Dangerosité (ID);
Champion;Champion;voie (guerrier)
Channel Divinity;Conduit divin;capacité (clerc, paladin)
Chaos Bolt;Éclair de chaos (XGtE);
Charger;Expert de la charge;don
Charisma;Charisme;caractéristique
charlatan;charlatan;historique
Charm Animals and Plants;charme des animaux et des plantes / cordialité avec la faune et la flore;capacité (clerc/conduit divin)
Charm Monster;Charme-monstre (XGtE);
Charm Person;Charme-personne;
charmed;charmé;état
Chasme;Chasme;
Chauntea;Chauntéa;divinité
Chef;Chef cuisinier;don (TCoE)
Chill Touch;Contact glacial;
Chime of Opening;Carillon d'ouverture;
Chimera;Chimère;
Chromatic Orb;Orbe chromatique;
Chuul;Chuul;
Circle Forms;Formes du cercle;capacité (druide)
Circle of Death;Cercle de mort;
Circle of Power;Cercle de pouvoir;
Circle of the Land;Cercle de la Terre;voie (druide)
Circle of the Moon;Cercle de la Lune;voie (druide)
Circle Spells;Sorts de cercle;capacité (druide)
Circlet of Blasting;Diadème de destruction;
City Secrets;Secrets de la ville;capacité (historique)
Clairvoyance;Clairvoyance;
Clay Golem;Golem d'argile;
Cleansing Touch;Contact purificateur;capacité (paladin)
cleric;clerc;classe
Cloak of Arachnida;Cape de l'arachnide;
Cloak of Displacement;Cape de déplacement;
Cloak of Elvenkind;Cape elfique;
Cloak of Flies;Voile de mouches;manifestation occulte (XGtE)
Cloak of Invisibility;Cape d'invisibilité;
Cloak of Protection;Cape de protection;
Cloak of Shadows;linceul d'ombre;capacité (clerc/conduit divin, moine)
Cloak of the Bat;Cape de la chauve-souris;
Cloak of the Manta Ray;Cape de la raie manta;
Cloaker;Manteleur;
Cloakwood;Bois-manteau / Bois Voilé;
Clone;Clone;
Cloud Giant;Géant des nuages;
Cloud of Daggers;Nuée de dagues;
Cloud Peaks;Pics brumeux / Pics des Nuages;
Cloudkill;Brume mortelle;
club;gourdin;arme
Cockatrice;Cockatrice;
cold;froid;type de dégâts
Cold Wood;Bois froid / Bois Glacé;
College of Lore;Collège du Savoir;voie (barde)
College of Valor;Collège de la Vaillance;voie (barde)
Color Spray;Couleurs dansantes;
Combat Inspiration;Inspiration martiale;capacité (barde)
Combat Superiority;Supériorité martiale;capacité (guerrier)
Combat Wild Shape;Forme sauvage de combat;capacité (druide)
Command;Injonction;
Command Undead;Contrôle des morts-vivants;capacité (magicien)
Commander's Strike;Instruction;manœuvre
Commanding Presence;Autorité naturelle;manœuvre (TCoE)
Common;commun;langue
Commoner;Roturier;
Commune;Communion;
Commune with Nature;Communion avec la nature;
Compelled Duel;Duel forcé;
components;composantes;
Comprehend Languages;Compréhension des langues;
Compulsion;Compulsion;
condition;étât;
Cone of Cold;Cône de froid;
Confusion;Confusion;
conjuration;invocation;école de magie
Conjuration Savant;Invocateur érudit;capacité (magicien)
Conjure Animals;Invocation d'animaux;
Conjure Barrage;Invocation de projectiles / Hérissement de projectiles;
Conjure Celestial;Invocation de céleste;
Conjure Elemental;Invocation d'élémentaire;
Conjure Fey;Invocation de fée;
Conjure Minor Elementals;Invocation d'élémentaires mineurs;
Conjure Volley;Invocation de volée;
Conjure Woodland Beings;Invocation d'êtres sylvestres;
Constitution;Constitution;caractéristique
constrict;étreinte;
Constrictor Snake;Serpent constricteur;
construct;artificiel;type de créature
Contact Other Plane;Contact avec un autre plan / Contact avec les plans;
Contagion;Contagion;
Contingency;Prévoyance / Anticipation;
Continual Flame;Flamme éternelle;
Control Flames;Contrôle des flammes (XGtE);
Control Water;Contrôle de l'eau;
Control Weather;Contrôle du climat;
Control Winds;Contrôle des vents (XGtE);
Controlled Chaos;Chaos contrôlé;capacité (ensorceleur)
Copper Dragon;Dragon de cuivre;
copper piece (cp);pièce de cuivre (pc);pièce
Cordon of Arrows;Cordon de flèches;
Corona of Light;Halo de lumière / Auréole;capacité (clerc)
Couatl;Couatl;
Countercharm;Contre-charme;capacité (barde)
Counterspell;Contresort;
cover;abri;
Crab;Crabe;
Crawling Claw;Griffe rampante / Main rampante;
Create Bonfire;Embrasement (XGtE);
Create Food and Water;Création de nourriture et d'eau;
Create Homunculus;Création d'homoncule (XGtE);
Create or Destroy Water;Création ou destruction d'eau;
Create Thrall;Asservissement;capacité (occultiste)
Create Undead;Création de mort-vivant;
Creation;Création;
criminal;criminel;historique
Criminal Contact;Accointances avec la pègre;capacité (historique)
Crocodile;Crocodile;
Crossbow Expert;Maître-arbalétrier;don
crossbow, hand;arbalète de poing;arme
crossbow, heavy;arbalète lourde;arme
crossbow, light;arbalète légère;arme
Crown of Madness;Couronne du dément;
Crown of Stars;Couronne d'étoiles (XGtE);
Crusader's Mantle;Aura du croisé;
Crusher;Broyeur;don (TCoE)
Crystal Ball;Boule de cristal;
Cube of Force;Cube de force;
Cubic Gate;Cube des plans;
Cult Fanatic;Fanatique / Fanatique de secte;
Cultist;Cultiste / Membre de secte;
Cunning Action;Ruse;capacité (roublard)
Cure Wounds;Soins;
Cutting Words;Mots cinglants;capacité (barde)
Cyclops;Cyclope;
Cyric;Cyric;divinité
Daern's Instant Fortress;Forteresse instantanée de Daern;
dagger;dague;arme
Dagger of Venom;Dague venimeuse;
damage resistance;résistance aux dégâts;
Damage Resistance;Résistance aux dégâts;capacité (drakeide)
damage vulnerability;vulnérabilité aux dégâts;
Dampen Elements;Atténuation des éléments / Atténuer les éléments;capacité (clerc)
Dancing Lights;Lumières dansantes;
Dancing Sword;Épée dansante;
Danger Sense;Sens du danger;capacité (barbare)
Danse Macabre;Danse Macabre (XGtE);
Dao;Dao;
Dark Delirium;Sombre délire;capacité (occultiste)
dark elf;elfe noir;sous-race (elfe)
Dark One's Blessing;Bénédiction du ténébreux;capacité (occultiste)
Dark One's Own Luck;Chance du ténébreux;capacité (occultiste)
Darkmantle;Mante obscure;
darkness;ténèbres;
darkvision;vision dans le noir;
dart;fléchette;arme
Dash action;Foncer;action
Dawn;Aube (XGtE);
Daylight;Lumière du jour;
deafened;assourdi;état
Death Dog;Chien du trépas;
Death Knight;Chevalier de la mort;
death saving throw;Jet de sauvegarde contre la mort;
Death Slaad;Slaad funeste;
Death Strike;Frappe meurtrière / Coup meurtrier;capacité (roublard)
Death Tyrant;Tyramort;
Death Ward;Protection contre la mort;
Decanter of Endless Water;Carafe intarissable;
Deception;Tromperie / Supercherie;compétence
Deck of Illusions;Cartes d'illusion;
Deck of Many Things;Cartes merveilleuses;
deep gnome;gnome des profondeurs;sous-race (gnome)
Deep Gnome (Svirfneblin);Gnome des profondeurs (svirfnebelin);
Deep Speech;profond;langue
Deer;Cerf;
Defender;Gardienne;
Defense;Défense;style de combat
Defensive Duelist;Duelliste défensif;don
Defensive Tactics;Tactiques défensives;capacité (rôdeur)
Deflect Missiles;Parade de projectiles;capacité (moine)
Delayed Blast Fireball;Boule de feu à retardement;
Demilich;Demi-liche;
Demiplane;Demi-plan;
demiplanes;demi-plans;plan
Demon Armor;Armure démoniaque;
Deneir;Déneïr;divinité
Destroy Undead;Destruction des morts-vivants;capacité (clerc)
Destructive Wave;Vague destructrice;
Destructive Wrath;fureur destructrice;capacité (clerc/conduit divin)
Detect Evil and Good;Détection du mal et du bien;
Detect Magic;Détection de la magie;
Detect Poison and Disease;Détection du poison et des maladies;
Detect Thoughts;Détection des pensées;
Deva;Déva;
Devil's Sight;Vision du diable;manifestation occulte
Dexterity;Dextérité;caractéristique
Diamond Soul;Âme de diamant;capacité (moine)
Difficulty Class (DC);Degré de Difficulté (DD);
dim light;lumière faible;
Dimension Door;Porte dimensionnelle;
Dimensional Shackles;Menottes dimensionnelles;
Dire Wolf;Loup sanguinaire;
disadvantage (to have);désavantage (avoir un désavantage) / désavantage (être désavantagé);
Disarming Attack;Désarmement;manœuvre
Disciple of Life;Disciple de la vie;capacité (clerc)
Disciple of the Elements;Disciple des éléments;capacité (moine)
Discovery;Découverte;capacité (historique)
Disengage action;Se désangager;action
Disguise Self;Déguisement;
Disintegrate;Désintégration;
Dispel Evil and Good;Dissipation du mal et du bien;
Dispel Magic;Dissipation de la magie;
Displacer Beast;Bête éclipsante;
Dissonant Whispers;Murmures dissonants;
Distant Spell;sort ample;métamagie
Distracting Strike;Diversion;manœuvre
Divination;Divination;école de magie
Divination Savant;Devin érudit;capacité (magicien)
Divine Domain;Domaine divin;capacité (clerc)
Divine Favor;Faveur divine;
Divine Health;Santé divine;capacité (paladin)
Divine Intervention;Intervention divine;capacité (clerc)
Divine Sense;Sens divin / Perception divine;capacité (paladin)
Divine Smite;Châtiment divin;capacité (paladin)
Divine Strike;Frappe divine / Impact divin;capacité (clerc)
Divine Word;Parole divine;
Djinni;Djinn;
Dodge action;Esquiver;action
Dominate Beast;Domination de bête / Domination d'animal;
Dominate Monster;Domination de monstre;
Dominate Person;Domination de personne;
Doppelganger;Doppelganger;
Draconic;draconique;langue
Draconic Ancestry;Ascendance draconique;capacité (drakeide)
Draconic Bloodline;Lignée draconique;voie (ensorceleur)
Draconic Presence;Présence draconique;capacité (ensorceleur)
Draconic Resilience;Résistance draconique;capacité (ensorceleur)
Draft Horse;Cheval de trait;
dragon;dragon;type de créature
Dragon Ancestor;Ancêtre draconique;capacité (ensorceleur)
Dragon Fear;Peur du dragon;don (XGtE)
Dragon Hide;Cuir de dragon;don (XGtE)
Dragon Scale Mail;Armure d'écailles de dragon;
Dragon Slayer;Tueuse de dragons;
Dragon Turtle;Dragon-tortue;
Dragon Wings;Ailes draconiques;capacité (ensorceleur)
Dragon Wyrmling;Dragon, dragonnet / Dragonnet;
Dragon's Breath;Souffle du dragon (XGtE);
dragonborn;drakéide;race
Dragonspear Castle;Château de Lancedragon;
Drawmij's Instant Summons;Convocations instantanées de Drawmij;
Dreadful Word;Mot d'effroi;manifestation occulte
Dream;Songe;
Dream of the Blue Veil;Songe du voile bleu (TCoE);
Dretch;Dretch;
Drider;Drider;
Driftglobe;Globe flottant;
Drow;Drow;
Drow;drow;sous-race (elfe)
Drow Elite Warrior;Drow, guerrier d'élite;
Drow High Magic;Haute magie drow;don (XGtE)
Drow Mage;Drow, mage;
Drow Magic;Magie drow;capacité (elfe)
Drow Priestress of Lolth;Drow, prêtresse de Lolth;
Drow Weapon Training;Entraînement aux armes drows / Formation martiale drow;capacité (elfe)
Druid;Druide;
druid;druide;classe
Druid Circle;Cercle druidique;capacité (druide)
Druid Grove;Bosquet des druides (XGtE);
Druidcraft;Druidisme;
Druidic;druidique;langue
Druidic Warrior;Combattant druidique;style de combat (TCoE)
Dryad;Dryade;
Dual Wielder;Combattant à deux armes;don
Dueling;Duel;style de combat
Duergar;Duergar;
duergar;duergar;sous-race (nain)
Dungeon Delver;Explorateur de donjons;don
Duodrone;Duodrone;
Durable;Endurant / Gaillard;don
Durable Summons;Convocations coriaces;capacité (magicien)
Dust Devil;Tourbillon de poussière (XGtE);
Dust Mephit;Méphite poussiéreux;
Dust of Disappearance;Poussière de disparition;
Dust of Dryness;Poussière dessicative;
Dust of Sneezing and Choking;Poudre à éternuer / Poussière à éternuer;
dwarf;nain;race
Dwarf Fortitude;Vigueur naine;don (XGtE)
Dwarven Armor Training;Formation au port des armures naines;capacité (nain)
Dwarven Combat Training;Entraînement aux armes naines;capacité (nain)
Dwarven Plate;Harnois nain;
Dwarven Resilience;Résistance naine;capacité (nain)
Dwarven Thrower;Marteau de lancer nain;
Dwarven Toughness;Ténacité naine;capacité (nain)
Dwarvish;nain;langue
Eagle;Aigle;
Earth Elemental;Élémentaire de la terre;
Earth Tremor;Secousse sismique (XGtE);
Earthbind;Attraction terrestre (XGtE);
Earthquake;Tremblement de terre;
Efreeti;Éfrit;
Efreeti Bottle;Bouteille de l'éfrit / Bouteille du mauvais génie;
Efreeti Chain;Mailles éfrit / Cotte de mailles éfrit;
Eldath;Eldath;divinité
Elder Champion;Champion antique;capacité (paladin)
Eldritch Adept;Adepte occulte;don (TCoE)
Eldritch Blast;Décharge occulte;
Eldritch Invocations;Manifestations occultes;capacité (occultiste)
Eldritch Knight;Chevalier occulte;voie (guerrier)
Eldritch Master;Maître de l'occulte;capacité (occultiste)
Eldritch Mind;Esprit occulte;manifestation occulte (TCoE)
Eldritch Sight;Vision occulte;manifestation occulte
Eldritch Smite;Châtiment occulte / Attaque occulte;manifestation occulte (XGtE)
Eldritch Spear;Lance occulte;manifestation occulte
Eldritch Strike;Frappe occulte / Fragilisation occulte;capacité (guerrier)
electrum piece (ep);pièce d'électrum (pe);pièce
elemental;élémentaire;type de créature
Elemental Adept;Adepte élémentaire;don
Elemental Affinity;Affinité élémentaire;capacité (ensorceleur)
Elemental Bane;Fléau élémentaire (XGtE);
Elemental Chaos;Chaos élémentaire;plan
Elemental Disciplines;Disciplines élémentaires;capacité (moine)
Elemental Gem;Gemme élémentaire;
Elemental Planes;plans élémentaires;plan
Elemental Weapon;Arme élémentaire;
Elemental Wild Shape;Forme sauvage élémentaire;capacité (druide)
Elephant;Éléphant;
elf;elfe;race
Elf Weapon Training;Entraînement aux armes elfiques;capacité (elfe)
Elixir of Health;Élixir de santé;
Elk;Élan;
Elusive;Insaisissable;capacité (roublard)
Elven Accuracy;Précision elfique;don (XGtE)
Elven Chain;Mailles elfiques / Chemise de mailles elfique;
Elvish;elfe;langue
Elysium;Élysée;plan
Emerald Enclave;Enclave d'émeraude;faction
Empowered Evocation;Évocation améliorée;capacité (magicien)
Empowered Spell;sort renforcé;métamagie
Empty Body;Désertion de l'âme;capacité (moine)
Empyrean;Empyréen;
enchantment;enchantement;école de magie
Enchantment Savant;Enchanteur érudit;capacité (magicien)
Enemies Abound;Ennemis à foison (XGtE);
Enervation;Énervation (XGtE);
Enhance Ability;Amélioration de caractéristique;
Enlarge/Reduce;Agrandissement/rapetissement;
Ensnaring Strike;Frappe piégeuse;
Entangle;Enchevêtrement;
entertainer;artiste;historique
Enthrall;Discours captivant;
Entropic Ward;Protection entropique;capacité (occultiste)
Erinyes;Érinye;
Erupting Earth;Éruption de terre (XGtE);
Ethereal Plane;plan éthéré;plan
Etherealness;Forme éthérée;
Ettercap;Ettercap;
Ettin;Ettin;
Evard's Black Tentacles;Tentacules noirs d'Evard;
Evasion;Esquive totale;capacité (moine, roublard)
Evasive Footwork;Jeu de jambes défensif;manœuvre
Eversmoking Bottle;Bouteille fumigène / Urne fumigène;
evocation;évocation;école de magie
Evocation Savant;Évocateur érudit;capacité (magicien)
Exceptional Training;Entraînement exceptionnel / Coordination facilitée;capacité (rôdeur)
exhaustion;épuisement;état
Expeditious Retreat;Repli expéditif;
Expert Divination;Divination experte;capacité (magicien)
Expertise;Expertise;capacité
Extended Spell;sort étendu;métamagie
Extra Attack;Attaque supplémentaire;capacité
Eye and Hand of Vecna;Oeil et Main de Vecna;
Eyebite;Mauvais oeil;
Eyes of Charming;Regard charmeur;
Eyes of Minute Seeing;Yeux grossissants / Lentilles de netteté;
Eyes of the Eagle;Yeux de lynx;
Eyes of the Rune Keeper;Oeil du gardien des runes;manifestation occulte
Fabricate;Fabrication;
Fade away;Effacement;don (XGtE)
Faerie Dragon;Dragon féerique;
Faerie Fire;Lueurs féeriques;
False Identity;Fausse identité;capacité (historique)
False Life;Simulacre de vie;
Far Realm;Royaume lointain;plan
Far Scribe;Scribe des horizons;manifestation occulte (TCoE)
Far Step;Foulée dimensionnelle (XGtE);
Fast Hands;Mains lestes;capacité (roublard)
Fast Movement;Déplacement rapide;capacité (barbare)
Favored Enemy;Ennemi juré;capacité (rôdeur)
Fear;Peur / Terreur;
Feather Fall;Feuille morte;
feats;don;
features;capacité;
Feeblemind;Esprit faible;
Feign Death;Mort simulée / État cadavérique;
Feinting Attack;Feinte;manœuvre
